(a996,r1501)
(a57,r2330)
(a20,r107)
(a47,r89)
(a4,r124)
(a31,r868)
(a965,r1437)
(a1096,r1875)
(a274,r271)
(a1197,r2326)
(a1012,r790)
(a141,r114)
(a70,r36)
(a272,r175)
(a149,r270)
(a979,r1480)
(a102,r160)
(a106,r2460)
(a280,r468)
(a422,r1753)
(a1129,r2010)
(a1107,r1907)
(a443,r1173)
(a1174,r1)
(a461,r248)
(a978,r1477)
(a909,r1382)
(a331,r792)
(a315,r534)
(a400,r43)
(a64,r416)
(a117,r459)
(a1,r245)
(a306,r175)
(a1238,r2438)
(a418,r2453)
(a897,r1428)
(a403,r2072)
(a309,r1072)
(a895,r1426)
(a17,r406)
(a404,r773)
(a497,r1016)
(a329,r290)
(a739,r1253)
(a101,r33)
(a23,r36)
(a953,r1443)
(a25,r1534)
(a1177,r2132)
(a30,r53)
(a451,r875)
(a117,r2089)
(a171,r310)
(a19,r1994)
(a233,r400)
(a219,r988)
(a4,r765)
(a141,r1753)
(a503,r1027)
(a14,r14)
(a104,r2459)
(a117,r1865)
(a12,r253)
(a1208,r2362)
(a153,r273)
(a1039,r1035)
(a400,r271)
(a43,r81)
(a1053,r1760)
(a1109,r1909)
(a98,r149)
(a1,r9)
(a1112,r1918)
(a30,r417)
(a3,r106)
(a3,r1995)
(a65,r1626)
(a26,r2430)
(a403,r772)
(a244,r1009)
(a924,r1372)
(a72,r1515)
(a3,r130)
(a476,r993)
(a19,r409)
(a4,r270)
(a78,r664)
(a71,r1990)
(a839,r1291)
(a325,r129)
(a57,r248)
(a151,r271)
(a1236,r822)
(a316,r538)
(a300,r479)
(a274,r2432)
(a1097,r1880)
(a22,r176)
(a1153,r2053)
(a1061,r1586)
(a97,r154)
(a400,r847)
(a1,r156)
(a447,r857)
(a7,r8)
(a220,r2354)
(a478,r1002)
(a72,r801)
(a62,r2442)
(a59,r107)
(a1190,r2180)
(a338,r1674)
(a68,r120)
(a479,r1003)
(a59,r410)
(a119,r226)
(a62,r272)
(a114,r205)
(a1209,r2182)
(a1211,r2366)
(a21,r33)
(a159,r281)
(a19,r275)
(a77,r270)
(a3,r31)
(a66,r422)
(a744,r1265)
(a310,r494)
(a70,r27)
(a1201,r2358)
(a38,r65)
(a3,r34)
(a20,r172)
(a64,r114)
(a231,r392)
(a25,r784)
(a422,r412)
(a1000,r1560)
(a0,r252)
(a268,r434)
(a1,r122)
(a372,r688)
(a109,r142)
(a196,r347)
(a6,r7)
(a759,r1255)
(a270,r9)
(a423,r1970)
(a244,r266)
(a18,r759)
(a20,r1530)
(a521,r894)
(a1036,r1696)
(a36,r874)
(a222,r264)
(a62,r2446)
(a331,r114)
(a1,r10)
(a1124,r1983)
(a17,r655)
(a4,r812)
(a56,r9)
(a826,r1353)
(a79,r130)
(a1098,r1881)
(a1072,r1837)
(a1232,r2429)
(a49,r96)
(a221,r997)
(a601,r917)
(a480,r994)
(a62,r1928)
(a24,r861)
(a177,r318)
(a419,r973)
(a107,r2462)
(a121,r2097)
(a21,r762)
(a61,r110)
(a82,r133)
(a1006,r1566)
(a8,r9)
(a20,r281)
(a173,r705)
(a1028,r1799)
(a860,r1293)
(a950,r1439)
(a96,r146)
(a1013,r1669)
(a272,r270)
(a1154,r2054)
(a230,r394)
(a740,r1257)
(a94,r248)
(a1113,r1919)
(a316,r900)
(a124,r2169)
(a316,r851)
(a12,r482)
(a1216,r36)
(a1026,r1681)
(a1012,r116)
(a320,r581)
(a84,r134)
(a1067,r1596)
(a20,r175)
(a312,r1070)
(a60,r482)
(a116,r198)
(a211,r356)
(a60,r279)
(a17,r1523)
(a70,r107)
(a95,r145)
(a60,r1029)
(a77,r129)
(a1,r2)
(a168,r293)
(a25,r970)
(a112,r2082)
(a982,r1484)
(a312,r514)
(a760,r1258)
(a428,r838)
(a144,r267)
(a4,r4)
(a997,r1518)
(a21,r807)
(a75,r20)
(a469,r483)
(a18,r140)
(a1052,r1752)
(a65,r446)
(a494,r1021)
(a146,r268)
(a271,r2170)
(a1235,r46)
(a425,r1516)
(a317,r548)
(a1183,r2138)
(a72,r416)
(a217,r2331)
(a1065,r1816)
(a1242,r2444)
(a206,r726)
(a13,r1031)
(a1010,r793)
(a472,r793)
(a9,r159)
(a101,r270)
(a422,r848)
(a120,r225)
(a19,r368)
(a487,r1010)
(a62,r788)
(a364,r721)
(a223,r2355)
(a3,r158)
(a8,r141)
(a1003,r1565)
(a312,r892)
(a1071,r1836)
(a200,r336)
(a491,r1011)
(a1206,r2351)
(a113,r227)
(a1213,r2368)
(a694,r1127)
(a24,r37)
(a20,r2420)
(a1007,r1568)
(a401,r273)
(a333,r43)
(a55,r976)
(a27,r47)
(a66,r117)
(a75,r19)
(a94,r442)
(a1114,r1921)
(a601,r1193)
(a997,r1746)
(a1241,r2443)
(a77,r31)
(a12,r144)
(a107,r167)
(a1201,r2340)
(a500,r1024)
(a926,r1379)
(a0,r0)
(a266,r433)
(a1123,r1974)
(a34,r68)
(a997,r1759)
(a35,r70)
(a1004,r1561)
(a82,r793)
(a475,r985)
(a77,r484)
(a422,r1517)
(a269,r435)
(a898,r1430)
(a53,r102)
(a1125,r1984)
(a824,r1350)
(a28,r51)
(a1077,r1867)
(a17,r140)
(a903,r1370)
(a20,r968)
(a127,r243)
(a764,r1213)
(a528,r1074)
(a135,r260)
(a17,r743)
(a121,r2165)
(a31,r54)
(a954,r1444)
(a91,r775)
(a1014,r1670)
